127.0.0.1 - - [23/Jan/2021:11:41:10 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:41:20 +0530] "GET /OnlineBankingProject/ HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:41:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:44:19 +0530] "GET /OnlineBankingProject/ HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:44:19 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:45:37 +0530] "GET /OnlineBankingProject/ HTTP/1.1" 200 3281
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:45:37 +0530] "GET /OnlineBankingProject/login.jpg HTTP/1.1" 200 154661
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:45:37 +0530] "GET /OnlineBankingProject/registration.jpg HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:45:37 +0530] "GET /OnlineBankingProject/contact.jpg HTTP/1.1" 200 7239
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:45:37 +0530] "GET /OnlineBankingProject/home.jpg HTTP/1.1" 200 7367
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:45:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:45:44 +0530] "POST /OnlineBankingProject/Controller HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:45:44 +0530] "GET /OnlineBankingProject/vkboard.js HTTP/1.1" 200 63351
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:45:45 +0530] "GET /OnlineBankingProject/rightclick.js HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:45:45 +0530] "GET /OnlineBankingProject/1.jpg HTTP/1.1" 200 365278
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:46:30 +0530] "GET /OnlineBankingProject/ HTTP/1.1" 200 3281
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:46:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:46:37 +0530] "POST /OnlineBankingProject/Controller HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:50:35 +0530] "GET /OnlineBankingProject/ HTTP/1.1" 200 3281
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:50:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:50:45 +0530] "GET /OnlineBankingProject/index.jsp HTTP/1.1" 200 3281
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:50:48 +0530] "GET /OnlineBankingProject/contact.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:50:48 +0530] "GET /OnlineBankingProject/contact.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:50:48 +0530] "GET /OnlineBankingProject/contactbanner.jpg HTTP/1.1" 200 55244
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:50:55 +0530] "GET /OnlineBankingProject/contact.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:50:57 +0530] "GET /OnlineBankingProject/contact.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:51:14 +0530] "GET /OnlineBankingProject/ HTTP/1.1" 200 3281
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:51:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:51:17 +0530] "GET /OnlineBankingProject/index.jsp HTTP/1.1" 200 3281
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:51:20 +0530] "GET /OnlineBankingProject/registration.jsp HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:51:27 +0530] "GET /OnlineBankingProject/IBRegForm.doc HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:51:45 +0530] "GET /OnlineBankingProject/ HTTP/1.1" 200 3281
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:51:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:51:47 +0530] "POST /OnlineBankingProject/Controller HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [23/Jan/2021:11:52:23 +0530] "GET /OnlineBankingProject/Controller?action=forget HTTP/1.1" 200 420
